,M Number,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,Predicted_Energy
Ti3C4,3,4,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.982432515
Ti5C2,5,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.975313447
TiN,1,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.032995104
TiN2,1,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.13670849
Ti2N,2,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.065650926
Ti3N4,3,4,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.108978036
Ti5N2,5,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.146574856
TiB,1,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.583260187
TiB2,1,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.654946893
Ti2B,2,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.880826239
Ti3B4,3,4,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.675440286
Ti5B2,5,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.533945859
WC,1,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.466120294
WC2,1,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.508487364
W2C,2,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.512928261
W3C4,3,4,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.543340907
W5C2,5,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.511725951
WN,1,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.466783866
WN2,1,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.709853154
W2N,2,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.50088064
W3N4,3,4,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.743328652
W5N2,5,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.7306698
WB,1,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.542457072
WB2,1,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.601414042
W2B,2,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.626528706
W3B4,3,4,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.620566891
W5B2,5,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.590863916
MoC,1,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.42622175
MoC2,1,2,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.587010922
