,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,Energy,a,b,c,space_group
Ta2N ,Ta,2,N,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.70610557,3.1128615059539673,3.1128615059539673,4.869841,164
Ti2N ,Ti,2,N,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.12678703,4.960132,4.960132,3.034611,136
V2N,V,2,N,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.73248494,4.905897743331489,4.905897743331489,4.543337,162
W2N,W,2,N,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.60900685,2.8352056354361674,2.8352056354361674,17.656657,164
Zr2N,Zr,2,N,1,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.16814704,5.437125,5.437125,3.321494,136
NbFe1,Nb,1,Fe,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,-0.559,18.139539251287832,18.139539251287832,18.139539205108406,166
NbRu1,Nb,1,Ru,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,-0.556,2.8467715675348804,2.8467715675348804,4.237111785058898,65
TaNi2,Ta,1,Ni,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,-1.026,3.169826,3.169826,4.538261422094038,139
TaV1,Ta,1,V,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,-0.651,2.8119940150407503,2.8119940150407503,4.341361,65
HfPt1,Hf,1,Pt,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105,-0.506,3.329778,3.329778,3.329778,221
FeMn1,Fe,1,Mn,1,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,-0.194,2.459961,2.459961,3.480692,123
NbMo1,Nb,1,Mo,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,-0.553,2.823376606296971,2.823376606296971,4.53131,65
HfRe2,Hf,1,Re,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,-1.032,5.283385572184279,5.283385572184279,8.647385,194
CoMn1,Co,1,Mn,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,-0.108,2.8536,2.8536,2.8536,221
TiPt1,Ti,1,Pt,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105,-0.385,3.179305,3.179305,3.179305,221
