,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,a,b,c,space_group
RhC,Rh,1,C,1,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.253716498290839,3.253716498290839,3.253717205397697,216
RhN,Rh,1,N,1,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.9319220572317404,2.9319220572317404,2.856155,187
RhN2,Rh,1,N,2,45,9,5,102.9055,12.41,2.3968376036918784,1.42,7.4589,1.142892,45,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.913133,4.935154,4.9605951825027,14
TaB,Ta,1,B,1,73,5,6,180.9479,16.654,2.622776820118506,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.659807984849269,4.659807984849269,3.17194,63
TaB2,Ta,1,B,2,73,5,6,180.9479,16.654,2.622776820118506,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.096680391970731,3.096680391970731,3.34261,191
Ta2B,Ta,2,B,1,73,5,6,180.9479,16.654,2.622776820118506,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.781624049500651,4.781624049500651,4.781624049500651,140
Ta3B4,Ta,3,B,4,73,5,6,180.9479,16.654,2.622776820118506,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,7.39626828505977,7.39626828505977,7.39626828505977,71
TaC,Ta,1,C,1,73,5,6,180.9479,16.654,2.622776820118506,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.4213884866729183,3.4213884866729183,3.4213884866729183,216
Ta2C,Ta,2,C,1,73,5,6,180.9479,16.654,2.622776820118506,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.1250525021671236,3.1250525021671236,4.97079,164
TaN,Ta,1,N,1,73,5,6,180.9479,16.654,2.622776820118506,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,5.23348168628352,5.23348168628352,2.925503,189
TaN2,Ta,1,N,2,73,5,6,180.9479,16.654,2.622776820118506,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.1154787855443664,3.1154787855443664,3.79377,187
Ta2N,Ta,2,N,1,73,5,6,180.9479,16.654,2.622776820118506,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.1128615059539673,3.1128615059539673,4.869841,164
TcB,Tc,1,B,1,43,7,5,98,11.5,2.4187580042950745,1.47,7.11938,0.552,43,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.8754318624277992,2.8754318624277992,5.945857,194
TcB2,Tc,1,B,2,43,7,5,98,11.5,2.4187580042950745,1.47,7.11938,0.552,43,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.9028039946245077,2.9028039946245077,7.472611,194
TcC,Tc,1,C,1,43,7,5,98,11.5,2.4187580042950745,1.47,7.11938,0.552,43,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.276237849271631,3.276237849271631,3.276237849271631,216
TcN,Tc,1,N,1,43,7,5,98,11.5,2.4187580042950745,1.47,7.11938,0.552,43,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.246181568430515,3.246181568430515,3.246181568430515,216
TcN2,Tc,1,N,2,43,7,5,98,11.5,2.4187580042950745,1.47,7.11938,0.552,43,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.457114349685587,3.457114349685587,3.457114349685587,225
Tc2N,Tc,2,N,1,43,7,5,98,11.5,2.4187580042950745,1.47,7.11938,0.552,43,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.849366570988191,2.849366570988191,9.744362,194
RuB,Ru,1,B,1,44,8,5,101.07,12.41,2.382501425616403,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.607819,4.568953,8.153379,51
RuB2,Ru,1,B,2,44,8,5,101.07,12.41,2.382501425616403,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.88311,4.055214,4.6668,59
RuC,Ru,1,C,1,44,8,5,101.07,12.41,2.382501425616403,1.46,7.3605,1.0463825,44,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.0560589397457636,3.0560589397457636,3.0560589397457636,225
RuN,Ru,1,N,1,44,8,5,101.07,12.41,2.382501425616403,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.0652301146977528,3.0652301146977528,3.0652301146977528,225
RuN2,Ru,1,N,2,44,8,5,101.07,12.41,2.382501425616403,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.421422,4.421422,2.681938,127
OsB,Os,1,B,1,76,8,6,190.23,22.57,2.409898903360234,1.44,8.43823,1.0778013,76,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.8153296556565093,4.55729477887628,7.94455139904696,2
OsB2,Os,1,B,2,76,8,6,190.23,22.57,2.409898903360234,1.44,8.43823,1.0778013,76,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.887289,4.091241,4.709187,59
OsC,Os,1,C,1,76,8,6,190.23,22.57,2.409898903360234,1.44,8.43823,1.0778013,76,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.697561,2.697561,2.697561,221
OsC2,Os,1,C,2,76,8,6,190.23,22.57,2.409898903360234,1.44,8.43823,1.0778013,76,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.871679279865528,2.871679279865528,4.014595,187
