Formula,Predicted E,Outside or Within,Verify
Zr5C2,-1.058680544,Outside 0.16 of 0,
ZrN,-1.089950321,Outside 0.16 of 0,
ZrN2,-1.082874632,Outside 0.16 of 0,
Zr2N,-1.106518413,Outside 0.16 of 0,
Zr3N4,-1.136003332,Outside 0.16 of 0,
Zr5N2,-1.132569379,Outside 0.16 of 0,
IrB,-0.548387708,Outside 0.16 of 0,
IrB2,-0.532127582,Outside 0.16 of 0,
Ir2B,-0.548387708,Outside 0.16 of 0,
Ir3B4,-0.531271537,Outside 0.16 of 0,
Ir5B2,-0.541576081,Outside 0.16 of 0,
IrC,-0.531877635,Outside 0.16 of 0,
IrC2,-0.51032152,Outside 0.16 of 0,
Ir2C,-0.531877635,Outside 0.16 of 0,
Ir3C4,-0.511717885,Outside 0.16 of 0,
Ir5C2,-0.517910879,Outside 0.16 of 0,
IrN,-0.581603179,Outside 0.16 of 0,
IrN2,-0.565430759,Outside 0.16 of 0,
Ir2N,-0.581603179,Outside 0.16 of 0,
Ir3N4,-0.595680262,Outside 0.16 of 0,
Ir5N2,-0.65712632,Outside 0.16 of 0,
VB,-0.883169006,Outside 0.16 of 0,
VB2,-0.417977293,Outside 0.16 of 0,
V2B,-0.932282218,Outside 0.16 of 0,
V3B4,-0.474959119,Outside 0.16 of 0,
V5B2,-0.495387648,Outside 0.16 of 0,
VC,-0.878253731,Outside 0.16 of 0,
VC2,-0.772751294,Outside 0.16 of 0,
V2C,-0.894183102,Outside 0.16 of 0,
V3C4,-0.788188028,Outside 0.16 of 0,
V5C2,-0.801597763,Outside 0.16 of 0,
VN,-0.789332112,Outside 0.16 of 0,
VN2,-0.839286499,Outside 0.16 of 0,
V2N,-0.794251811,Outside 0.16 of 0,
V3N4,-0.936656193,Outside 0.16 of 0,
V5N2,-0.928835055,Outside 0.16 of 0,
RhB,-0.274920088,Outside 0.16 of 0,
RhB2,0.108537973,Within 0.16 of 0,Yes
Rh2B,-0.275328569,Outside 0.16 of 0,
Rh3B4,0.117085091,Within 0.16 of 0,Yes
Rh5B2,0.106780547,Within 0.16 of 0,Yes
RhC,-0.274133147,Outside 0.16 of 0,
RhC2,0.072488585,Within 0.16 of 0,Yes
Rh2C,-0.274541628,Outside 0.16 of 0,
Rh3C4,0.079534177,Within 0.16 of 0,Yes
Rh5C2,0.069534605,Within 0.16 of 0,Yes
RhN,-0.373398206,Outside 0.16 of 0,
RhN2,-0.096352159,Within 0.16 of 0,Yes
Rh2N,-0.364788666,Outside 0.16 of 0,
Rh3N4,-0.146668621,Within 0.16 of 0,Yes
Rh5N2,-0.197039695,Outside 0.16 of 0,
