Formula,Metal Symbol,M Number,X Symbol,X Number,Metal Mass,Metal Density,Metal Interatomic Distance,Metal Covalent Radius,X Mass,X Density,X Interatomic Distance,X Covalent Radius
W5N2,W,5,N,2,183.84,19.3,2.510213004823371,1.62,14.0067,0.808,3.064722544994379,0.71
W1B1,W,1,B,1,183.84,19.3,2.510213004823371,1.62,10.811,2.34,1.972269889478773,0.84
W1B2,W,1,B,2,183.84,19.3,2.510213004823371,1.62,10.811,2.34,1.972269889478773,0.84
W2B1,W,2,B,1,183.84,19.3,2.510213004823371,1.62,10.811,2.34,1.972269889478773,0.84
W3B4,W,3,B,4,183.84,19.3,2.510213004823371,1.62,10.811,2.34,1.972269889478773,0.84
W5B2,W,5,B,2,183.84,19.3,2.510213004823371,1.62,10.811,2.34,1.972269889478773,0.84
W1C1,W,1,C,1,183.84,19.3,2.510213004823371,1.62,12.0107,2.2,2.085122400680275,0.76
W1C2,W,1,C,2,183.84,19.3,2.510213004823371,1.62,12.0107,2.2,2.085122400680275,0.76
W2C1,W,2,C,1,183.84,19.3,2.510213004823371,1.62,12.0107,2.2,2.085122400680275,0.76
W3C4,W,3,C,4,183.84,19.3,2.510213004823371,1.62,12.0107,2.2,2.085122400680275,0.76
W5C2,W,5,C,2,183.84,19.3,2.510213004823371,1.62,12.0107,2.2,2.085122400680275,0.76
Mn1N1,Mn,1,N,1,54.938049,7.33,2.3174271661174166,1.39,14.0067,0.808,3.064722544994379,0.71
Mn1N2,Mn,1,N,2,54.938049,7.33,2.3174271661174166,1.39,14.0067,0.808,3.064722544994379,0.71
Mn2N1,Mn,2,N,1,54.938049,7.33,2.3174271661174166,1.39,14.0067,0.808,3.064722544994379,0.71
Mn3N4,Mn,3,N,4,54.938049,7.33,2.3174271661174166,1.39,14.0067,0.808,3.064722544994379,0.71
Mn5N2,Mn,5,N,2,54.938049,7.33,2.3174271661174166,1.39,14.0067,0.808,3.064722544994379,0.71
Mn1B1,Mn,1,B,1,54.938049,7.33,2.3174271661174166,1.39,10.811,2.34,1.972269889478773,0.84
Mn1B2,Mn,1,B,2,54.938049,7.33,2.3174271661174166,1.39,10.811,2.34,1.972269889478773,0.84
Mn2B1,Mn,2,B,1,54.938049,7.33,2.3174271661174166,1.39,10.811,2.34,1.972269889478773,0.84
Mn3B4,Mn,3,B,4,54.938049,7.33,2.3174271661174166,1.39,10.811,2.34,1.972269889478773,0.84
Mn5B2,Mn,5,B,2,54.938049,7.33,2.3174271661174166,1.39,10.811,2.34,1.972269889478773,0.84
Mn1C1,Mn,1,C,1,54.938049,7.33,2.3174271661174166,1.39,12.0107,2.2,2.085122400680275,0.76
Mn1C2,Mn,1,C,2,54.938049,7.33,2.3174271661174166,1.39,12.0107,2.2,2.085122400680275,0.76
Mn2C1,Mn,2,C,1,54.938049,7.33,2.3174271661174166,1.39,12.0107,2.2,2.085122400680275,0.76
Mn3C4,Mn,3,C,4,54.938049,7.33,2.3174271661174166,1.39,12.0107,2.2,2.085122400680275,0.76
Mn5C2,Mn,5,C,2,54.938049,7.33,2.3174271661174166,1.39,12.0107,2.2,2.085122400680275,0.76
Hf1N1,Hf,1,N,1,178.49,13.31,2.813379287532789,1.75,14.0067,0.808,3.064722544994379,0.71
Hf1N2,Hf,1,N,2,178.49,13.31,2.813379287532789,1.75,14.0067,0.808,3.064722544994379,0.71
Hf2N1,Hf,2,N,1,178.49,13.31,2.813379287532789,1.75,14.0067,0.808,3.064722544994379,0.71
Hf3N4,Hf,3,N,4,178.49,13.31,2.813379287532789,1.75,14.0067,0.808,3.064722544994379,0.71
Hf5N2,Hf,5,N,2,178.49,13.31,2.813379287532789,1.75,14.0067,0.808,3.064722544994379,0.71
Hf1B1,Hf,1,B,1,178.49,13.31,2.813379287532789,1.75,10.811,2.34,1.972269889478773,0.84
Hf1B2,Hf,1,B,2,178.49,13.31,2.813379287532789,1.75,10.811,2.34,1.972269889478773,0.84
Hf2B1,Hf,2,B,1,178.49,13.31,2.813379287532789,1.75,10.811,2.34,1.972269889478773,0.84
Hf3B4,Hf,3,B,4,178.49,13.31,2.813379287532789,1.75,10.811,2.34,1.972269889478773,0.84
Hf5B2,Hf,5,B,2,178.49,13.31,2.813379287532789,1.75,10.811,2.34,1.972269889478773,0.84
Hf1C1,Hf,1,C,1,178.49,13.31,2.813379287532789,1.75,12.0107,2.2,2.085122400680275,0.76
Hf1C2,Hf,1,C,2,178.49,13.31,2.813379287532789,1.75,12.0107,2.2,2.085122400680275,0.76
Hf2C1,Hf,2,C,1,178.49,13.31,2.813379287532789,1.75,12.0107,2.2,2.085122400680275,0.76
Hf3C4,Hf,3,C,4,178.49,13.31,2.813379287532789,1.75,12.0107,2.2,2.085122400680275,0.76
